1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
17, 0, 0
17, 0, 0
17, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
17, 0, 0
17, 0, 0
112, 0, 0
112, 0, 0
112, 0, 0
17, 0, 0
17, 0, 0
17, 0, 0
112, 0, 0
112, 0, 0
322, 0, 0
322, 0, 0
112, 0, 0
112, 0, 0
112, 0, 0
112, 0, 0
322, 0, 0
322, 0, 0
322, 0, 0
322, 0, 0
322, 0, 0
322, 0, 0
322, 0, 0
322, 0, 0
388, 0, 0
388, 5, 0
388, 1, 0
388, 3, 0
388, 13, 0
388, 0, 0
388, 5, 0
388, 2, 0
1736, 75, 7
1736, 50, 30
1848, 45, 29
1848, 47, 23
1848, 78, 32
1848, 55, 12
1848, 48, 29
1736, 47, 18
1736, 99, 19
1736, 97, 28
1848, 96, 31
1848, 96, 20
1848, 96, 36
1848, 100, 9
1848, 96, 28
1736, 98, 17
1736, 98, 19
1736, 97, 26
1848, 97, 30
1848, 96, 19
1848, 96, 35
1848, 100, 10
1848, 97, 27
1736, 99, 19
1736, 96, 23
1736, 97, 24
1848, 97, 27
1848, 99, 18
1848, 96, 35
1848, 100, 12
1848, 97, 24
1736, 100, 15
1736, 96, 30
1736, 97, 22
1848, 96, 25
1848, 100, 16
1848, 96, 35
1848, 100, 16
1848, 97, 23
1736, 100, 11
1736, 96, 35
1736, 97, 19
1848, 96, 24
1848, 100, 14
1848, 97, 35
1848, 100, 17
1848, 97, 20
1736, 100, 10
1736, 96, 35
1736, 97, 18
1848, 96, 20
1848, 100, 10
1848, 96, 35
1848, 98, 18
1848, 97, 18
1736, 100, 11
1736, 96, 35
1736, 98, 17
1848, 96, 19
1848, 100, 8
1848, 96, 35
1848, 98, 19
1848, 98, 17
1736, 100, 12
1736, 96, 35
1736, 100, 19
1848, 98, 18
1848, 100, 10
1848, 96, 31
1848, 96, 22
1848, 99, 18
1736, 100, 15
1736, 95, 35
1736, 100, 16
1848, 100, 12
1848, 95, 28
1848, 96, 19
1848, 96, 33
1848, 100, 16
1736, 96, 33
1736, 96, 35
1736, 100, 16
1848, 100, 11
1848, 96, 25
1848, 97, 20
1848, 96, 33
1848, 100, 15
1736, 97, 33
1736, 96, 35
1736, 100, 12
1848, 100, 8
1848, 97, 19
1848, 97, 25
1848, 96, 33
1848, 100, 11
1736, 97, 26
1736, 96, 35
1736, 100, 9
1848, 100, 10
1848, 99, 17
1848, 97, 27
1848, 96, 33
1848, 100, 9
1736, 97, 19
1736, 95, 35
1736, 100, 11
1848, 100, 14
1848, 100, 16
1848, 97, 29
1848, 96, 33
1848, 100, 13
1736, 99, 18
1736, 96, 35
1736, 100, 13
1848, 100, 15
1848, 100, 12
1848, 97, 30
1848, 95, 29
1848, 100, 14
1736, 100, 17
1736, 96, 35
1736, 100, 19
1848, 98, 18
1848, 100, 10
1848, 97, 32
1848, 96, 22
1848, 99, 18
1736, 100, 12
1736, 96, 35
1736, 97, 18
1848, 96, 21
1848, 100, 11
1848, 97, 35
1848, 98, 19
1848, 97, 18
1736, 100, 11
1736, 96, 33
1736, 97, 20
1848, 96, 25
1848, 100, 15
1848, 97, 35
1848, 100, 16
1848, 97, 22
1736, 100, 8
1736, 96, 31
1736, 97, 19
1848, 100, 17
1848, 95, 33
1848, 100, 15
1848, 96, 33
1848, 98, 18
1736, 96, 33
1736, 96, 31
1736, 98, 19
1848, 100, 14
1848, 97, 33
1848, 98, 18
1848, 96, 33
1848, 99, 18
1736, 97, 33
1736, 96, 31
1736, 98, 19
1848, 100, 16
1848, 97, 33
1848, 99, 17
1848, 96, 33
1848, 98, 18
1736, 97, 33
1736, 96, 32
1736, 100, 17
1848, 100, 12
1848, 96, 31
1848, 98, 19
1848, 96, 33
1848, 100, 17
1736, 97, 33
1736, 96, 35
1736, 100, 16
1848, 100, 11
1848, 97, 28
1848, 97, 19
1848, 96, 33
1848, 100, 16
1736, 97, 33
1736, 95, 32
1736, 100, 17
1848, 100, 12
1848, 96, 29
1848, 98, 19
1848, 96, 33
1848, 100, 17
1736, 97, 33
1736, 96, 35
1736, 100, 14
1848, 100, 9
1848, 96, 23
1848, 97, 22
1848, 96, 33
1848, 100, 12
1736, 97, 31
1736, 96, 35
1736, 100, 12
1848, 100, 8
1848, 97, 19
1848, 97, 24
1848, 96, 33
1848, 100, 11
1736, 97, 28
1736, 96, 35
1736, 100, 10
1848, 100, 7
1848, 99, 18
1848, 97, 26
1848, 96, 33
1848, 100, 9
1736, 97, 22
1720, 0, 0
1720, 0, 0
1832, 0, 0
1832, 0, 0
1832, 0, 0
1832, 0, 0
1832, 0, 0
1720, 0, 0
1720, 0, 0
4, 0, 0
4, 0, 0
4, 40, 6
4, 0, 0
1832, 0, 0
1832, 0, 0
4, 0, 0
