1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
111, 0, 0
111, 0, 0
111, 0, 0
111, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
371, 0, 0
371, 0, 0
371, 0, 0
371, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
371, 0, 0
371, 0, 0
371, 0, 0
371, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1647, 0, 0
1647, 0, 0
1647, 7, 2
1647, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1987, 93, 28
1987, 92, 41
2069, 93, 40
1987, 95, 32
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1987, 93, 26
1987, 93, 35
2069, 93, 37
1987, 95, 32
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1987, 95, 23
1987, 94, 39
2069, 93, 31
1987, 94, 33
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1987, 95, 23
1987, 93, 37
2069, 92, 30
1987, 94, 33
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1987, 94, 23
1987, 94, 39
2069, 93, 28
1987, 94, 33
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1987, 87, 40
1987, 95, 30
2069, 93, 41
1987, 97, 22
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1987, 94, 22
1987, 93, 40
2069, 92, 21
1987, 94, 29
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1987, 89, 41
1987, 93, 33
2069, 93, 42
1987, 100, 27
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1987, 89, 37
1987, 99, 30
2069, 93, 39
1987, 94, 28
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1987, 89, 34
1987, 98, 22
2069, 93, 31
1987, 94, 39
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1987, 95, 31
1987, 94, 30
2069, 100, 29
1987, 94, 36
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1987, 97, 22
1987, 94, 41
2069, 96, 23
1987, 94, 32
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1987, 89, 38
1987, 94, 33
2069, 93, 42
1987, 100, 30
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1987, 99, 21
1987, 92, 40
2069, 95, 23
1987, 92, 34
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1987, 100, 24
1987, 94, 42
2069, 97, 23
1987, 94, 33
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1987, 100, 26
1987, 94, 42
2069, 98, 22
1987, 94, 34
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1987, 100, 30
1987, 94, 42
2069, 100, 22
1987, 94, 34
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1987, 100, 31
1987, 94, 41
2069, 100, 23
1987, 94, 34
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1987, 100, 30
1987, 94, 42
2069, 98, 21
1987, 94, 34
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1971, 0, 0
1971, 0, 0
2053, 0, 0
1971, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
2, 0, 0
2, 0, 0
2, 0, 0
2, 43, 7
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
