1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
189, 0, 0
189, 0, 0
111, 0, 0
189, 1, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
189, 0, 0
189, 0, 0
189, 0, 0
189, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
753, 16, 2
753, 18, 2
753, 17, 2
753, 19, 2
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1025, 83, 25
1025, 81, 27
961, 82, 26
1025, 83, 27
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1025, 90, 22
1025, 82, 26
961, 90, 25
1025, 69, 26
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1025, 78, 25
1025, 73, 24
961, 91, 24
1025, 67, 24
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1025, 81, 24
1025, 84, 20
961, 93, 19
1025, 70, 20
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1025, 85, 21
1025, 69, 25
961, 91, 25
1025, 77, 26
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1025, 82, 24
1025, 67, 20
961, 96, 19
1025, 78, 20
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1025, 77, 23
1025, 85, 27
961, 91, 25
1025, 80, 27
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1025, 70, 24
1025, 85, 21
961, 90, 20
1025, 93, 22
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1025, 77, 24
1025, 84, 16
961, 95, 15
1025, 63, 16
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1025, 86, 23
1025, 88, 19
961, 95, 16
1025, 61, 20
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1025, 87, 20
1025, 85, 26
961, 89, 24
1025, 62, 22
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1025, 75, 25
1025, 74, 20
961, 90, 22
1025, 94, 20
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1025, 77, 22
1025, 71, 25
961, 88, 25
1025, 73, 25
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1025, 78, 23
1025, 84, 21
961, 88, 22
1025, 64, 21
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1025, 85, 19
1025, 85, 24
961, 89, 24
1025, 66, 23
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1025, 90, 20
1025, 73, 25
961, 87, 25
1025, 89, 27
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1025, 84, 24
1025, 67, 21
961, 90, 19
1025, 94, 20
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1025, 89, 24
1025, 72, 26
961, 87, 25
1025, 90, 27
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1025, 84, 25
1025, 75, 21
961, 89, 22
1025, 95, 21
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1025, 84, 22
1025, 65, 22
961, 88, 19
1025, 91, 20
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1025, 84, 24
1025, 72, 20
961, 87, 24
1025, 95, 20
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1009, 85, 25
1009, 73, 22
945, 81, 24
1009, 90, 23
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 2, 0
4, 23, 4
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
