1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
111, 0, 0
111, 1, 0
111, 0, 0
111, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
267, 0, 0
267, 0, 0
267, 0, 0
267, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
737, 8, 0
737, 10, 0
737, 11, 0
737, 8, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
2735, 98, 43
2735, 98, 49
2735, 98, 41
2735, 99, 39
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
2735, 100, 55
2735, 99, 65
2735, 99, 60
2735, 99, 65
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
2735, 100, 55
2735, 36, 26
2735, 41, 31
2735, 59, 40
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
2735, 99, 57
2735, 99, 61
2735, 99, 68
2735, 100, 56
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
2735, 100, 56
2735, 100, 67
2735, 100, 65
2735, 100, 64
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
2735, 99, 66
2735, 100, 53
2735, 100, 54
2735, 99, 56
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
2735, 100, 63
2735, 100, 57
2735, 100, 63
2735, 100, 55
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
